Metabolite,Hyd,avg,Category
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.7504_1,0.012460193,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.YE_3,1.37E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.412_2,1.32E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.412_3,1.49E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.466_2,1.42E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.466_3,1.14E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.503_1,1.30E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.466_1,1.29E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.7504_1,1.41E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.7504_2,1.42E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.7504_3,1.46E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.YE_1,1.28E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.YE_2,1.33E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.412_1,1.26E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPea.7404_3,1.44E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.1510_1,0.268696307,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.1510_2,0.268947732,Other
