,Metabolite.name,Adduct.type,Average.Rt.min.,HyPea-7404_1,HyPep-4601N_3,HyPep-7504_1,HyPep-7504_2,HyPep-7504_3,HyPep-YE_1,HyPep-YE_2,HyPep-YE_3,HY-YEST-412_1,HY-YEST-412_2,HY-YEST-412_3,HyPea-7404_2,HY-YEST-466_1,HY-YEST-466_2,HY-YEST-466_3,HY-YEST-503_1,HY-YEST-503_2,HY-YEST-503_3,HY-YEST-555_1,HY-YEST-555_2,HY-YEST-555_3,HyPea-7404_3,HyPep-1510_1,HyPep-1510_2,HyPep-1510_3,HyPep-1510_4,HyPep-4601N_1,HyPep-4601N_2
449,Ala-Leu,[M+H]+,4.578,0.039552465,0.030875092,0.057908124,0.056610242,0.068948749,0.01100736,0.008017459,0.007993678,0.013973494,0.013750277,0.009619972,0.037771226,0.026993638,0.018712904,0.020516325,0.063054891,0.041000588,0.047030232,0.062818215,0.062290066,0.031330203,0.033845375,0.028195824,0.042642368,0.034405793,0.028020455,0.052066737,0.051048248
450,Ala-Leu,[M+H]+,2.403,0.046137219,0.050509948,0.048503388,0.047124675,0.052250394,0.005842475,0.00535096,0.007150716,0.012892582,0.012616609,0.010496051,0.054603666,0.021629749,0.019208585,0.019622924,0.05910756,0.045303132,0.051342002,0.055578736,0.051524545,0.032569856,0.049735246,0.027580872,0.027729043,0.025072831,0.022301108,0.067660475,0.070554652
451,"N,N-Dimethylarginine",[M+H]+,1.863,0.058796921,0.012463087,0.007453105,0.010716377,0.00971878,0.040297333,0.050200736,0.04796493,0.039148649,0.04660572,0.043001385,0.054815107,0.052946879,0.044369022,0.049294583,0.022020457,0.023333199,0.024503122,0.046785457,0.04781642,0.049556884,0.049279499,0.033872227,0.033898025,0.034529987,0.035188592,0.016404103,0.015019415
452,Spermine,[M+H]+,10.473,0.000863472,8.87E-08,0.034584401,0.030462543,0.038016544,0.049860686,0.130820015,0.166708432,0.04973156,0.047813879,0.077297948,1.00E-07,0.03525596,0.09236246,0.038471622,0.046319519,0.045651547,0.031494876,0.018074997,0.018571249,0.045196619,0.002440927,1.10E-07,1.08E-07,9.98E-08,7.61E-08,7.74E-08,8.43E-08
453,Spermine,[M+H]+,1.51,0.001593874,5.92E-10,2.47E-06,2.71E-05,2.78E-05,0.046434765,0.050424146,0.083602281,0.099145993,0.066845807,0.092777822,9.19E-05,0.089165238,0.096352324,0.081621746,0.051697978,0.044602961,0.018935546,0.062719732,0.065912645,0.047980032,1.78E-05,1.75E-05,6.18E-10,4.65E-10,4.86E-10,5.23E-10,2.55E-06
454,Spermine,[M+H]+,12.082,0.000170465,1.43E-07,0.022171556,0.022548766,0.022339273,0.182417451,0.04065963,0.176996639,0.122904447,0.080461069,0.060313293,0.005142851,0.026027091,0.0303429,0.03169734,0.033170635,0.038981972,0.028134974,0.023524407,0.021830381,0.02129547,0.008868292,1.47E-07,1.73E-07,1.68E-07,1.58E-07,1.61E-07,1.51E-07
455,Spermine,[M+H]+,28.42,8.42E-10,7.14E-10,0.032156144,0.032812129,0.030347357,0.054722162,0.083113069,0.081895165,0.071935153,0.069401613,0.073620293,0.002252336,0.053741598,0.059859245,0.050121263,0.055587461,0.055611331,0.045519439,0.046111323,0.02588796,0.040317287,0.0200045,8.77E-10,9.66E-10,8.17E-10,9.59E-10,0.007616222,0.007366944
456,Spermine,[M+H]+,3.553,5.14E-08,5.07E-08,5.89E-08,6.65E-08,6.48E-08,0.064237279,0.062978806,0.098368802,0.08182318,0.108571844,0.098633166,6.18E-08,0.037898974,0.042881091,0.041993492,0.068336832,0.106026943,0.06308362,0.042136475,0.047378721,0.035650018,6.02E-08,5.59E-08,4.74E-08,5.19E-08,5.19E-08,6.95E-08,6.51E-08
457,Isopentenyladenine,[M+H]+,19.876,6.94E-09,0.001888979,0.00024634,7.02E-09,0.001132285,0.002805186,0.008367948,0.009408987,0.077950815,0.062641378,0.080408585,7.56E-09,0.245327123,0.102326513,0.157237904,0.001972279,0.006918601,0.003349256,0.043807693,0.018596531,0.172071821,7.95E-09,0.00166986,8.35E-09,5.99E-09,6.46E-09,7.16E-09,0.001871858
458,Tryptophan,[M+H]+,19.521,0.00212878,0.010331483,0.008241676,0.012000474,0.007539031,0.013023603,0.011825685,0.011855821,0.018497344,0.019247979,0.030179509,0.002666651,0.026997917,0.023794075,0.029341864,0.009935637,0.005687502,0.019097934,0.031461128,0.006566431,0.032576522,0.001766786,0.067326281,0.06879216,0.062347949,0.056960039,0.234290667,0.175519069
