"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Blank_2","Blank_3","Blank_4","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
2.128,"[M+H]+","Ureidoglutaric acid",NA,NA,NA,NA,3899492,3494534,214740,538355,271837,34491,253909,923714,1116189,327999,153898,445148,283438,160633,730066,331337,434496,1073744,1077056,1094747,33476529,36336933,21670192,187376,NA,36154,42997,46317,171384,53362
18.483,"[M+H]+","Cytisine",16310,31368,13089,12823,56989,36358,22347,11972,546892,71223,495594,419281,1302930,384467,1424113,2099841,725815,22752,18394,15387,18797,75490,68059,92439,8526,9471,27238,48328,14778,22442,34996,17924,13548,11007
9.478,"[M+H]+","5-Hydroxy-3-indoleacetic acid",4708,7830,7755,7568,491804,337267,8937,116106,3048944,2501289,3175553,34597,31283,13006,10670,20849,10685,279497,27408,18396,11323,35768,27043,10493,12364,19016,14320,40195,187471,192667,199873,204449,11848,192932
3.984,"[M+H]+","N-Acetylmethionine",43117,6308,6653,6656,3805227,2859147,113530,116917,260327,329793,58636,7242014,10466174,4576741,4972350,7232246,3816930,17640,5555211,7584635,6433273,1566952,964009,268420,389181,343368,2011277,17529,1986400,2074113,1960659,1799357,49612,55034
16.327,"[M+H]+","Ferulic acid",13690,4704,11574,5433,763043,865589,NA,95406,9458772,7585534,6819734,11222,5495,11275,14394,6421,4833,12536,41659,12337,6225,33904,5734,13397,6748,8046,7424,8522,155872,254953,238944,180148,113893,130742
6.623,"[M+H]+","Ala-Leu",23920,117960,146108,143966,1698052,2350214,4973319,1491363,1708856,1614057,1903440,448725,403098,419945,563733,567168,537417,5074090,747144,640335,660898,1335130,1120099,1215318,1250397,1810215,766233,4240447,955066,1059274,1054126,949838,1837174,1585321
3.747,"[M+H]+","Ala-Leu",22952,123188,129131,141607,5053713,4371041,2810818,3524267,5108874,6987688,5488390,1276032,851972,1066463,1711062,1667972,1185900,2815909,2547505,1984163,2212835,4686001,4495253,5165504,5913531,3805498,2824717,3894431,2884028,3613478,3898357,2944609,7429404,6980758
5.229,"[M+H]+","Ala-Leu",14410,118870,153409,138846,1420100,2149070,1350981,1569001,3324959,3215286,3933394,751513,477031,547688,797252,830213,679654,1165156,1338496,873398,1033065,2492666,1845803,2196892,2499038,2455961,1504079,1006056,1476836,2033588,1642593,1427729,2552756,2290089
4.578,"[M+H]+","Ala-Leu",12325,120052,137094,146145,2700168,3374542,2601970,2053922,3761282,3679310,4458589,799110,610273,608771,986446,972348,711485,2489470,1808776,1285779,1399680,4086343,2693431,3074253,4071395,4038038,2082666,2241520,1884704,2797123,2276915,1873628,3392350,3328024
2.403,"[M+H]+","Ala-Leu",12340,114916,126456,118787,597393213,470800402,559891347,612947128,588600865,571872483,634064533,70981822,65018098,86855143,156523111,153174643,127445203,662617571,262534064,233157280,238184588,717264806,549771097,623042716,674448410,625257572,395274018,603547407,334741018,336538822,304310118,270679885,821040178,856156180
