"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
8.612,"[M-H]-","Pimelic acid",19629,60487,265928,318525,50547,42108,232142,236420,60720,55207,56448,56438,53168,58195,247387,69642,326577,312678,51868,458276,48098,51242,281656,63075,297042,60108,53039,173422,199906,48247,52192
1.726,"[M-H]-","Ala-Ala",90033,49327269,43945909,48758807,61027356,31670351,26688696,29154633,16229538,10576580,15281718,38941968,41035975,28994574,45993130,55534204,47495100,51117730,49201835,58304773,50299855,89609628,82908027,50963384,44800533,18230876,19979304,16343712,13180993,58854908,64707555
2.821,"[M-H]-","Ala-Ala",83018,6144004,4788416,5688461,4289689,5929755,4914156,6127078,3343516,2385876,1883811,2400356,3627817,2534400,6067242,2558293,1831889,2068093,7201042,5745001,6439942,12416123,16379645,9149517,1904258,4796542,1454621,1069837,3752036,4454985,1243242
2.211,"[M-H]-","Ala-Ala",91635,8963226,11271608,6484396,5261401,5764788,5645507,7532012,1999854,1392487,1376418,6096676,6626552,4849600,7111636,1882627,1681523,1608121,29476156,21679154,27110806,14187292,6851582,3605922,6828890,5085203,3753294,4319486,3474348,5477177,4573269
19.187,"[M-H]-","Indole-3-carboxylic acid; LC-ESI-QTOF; MS2; CE",10036,327106,354762,704057,180657,398093,374600,190484,223596,127647,93374,335849,355930,170403,848099,812715,882495,764934,170261,119672,79490,78081,111762,275627,758606,142040,165415,154938,148771,186287,211941
2.414,"[M-H]-","Meglutol",62087,46977777,40112792,5603219,30858043,9602321,8710112,8605453,37677211,23791049,28613364,35090369,29477932,24382330,6621861,66500142,54642603,56916451,21828229,27110751,20100460,53788476,51437328,36166890,7387470,69948390,68272500,59046465,54679388,35390311,37232892
18.765,"[M-H]-","trans-4-Coumaric acid",18014,9581682,8824330,70709,442763,22474307,21848229,16821152,482684,205282,248854,153391,1077513,263238,54612,556794,823859,764967,4843606,5135566,204092,727167,671002,305643,76648,37282794,43698399,35130664,26801528,567688,610214
15.805,"[M-H]-","trans-4-Coumaric acid",11075,432364,487893,11829,5860,4039937,3701580,3558974,21948,25437,22192,24398,48256,25292,6823,23465,26205,58913,17570,19588,9373,9784,34119,21505,13504,97831,64404,60111,36247,11546,15730
2.738,"[M-H]-","trans-4-Coumaric acid",18450,1970518,2314866,196075,2780062,765331,658864,774346,3808503,4665956,3835936,2874978,2184731,2523461,156001,2890507,3277854,4102669,322479,672991,408794,1000921,735101,3788540,155311,1312652,1373049,1350665,1356016,3195472,3432102
9.768,"[M-H]-","Phenylalanine",176153,1069548,1735497,559372,735380,380100,696572,387198,2376359,2177264,1536623,2446344,2828220,2257778,265786,2229642,2483740,2667629,728816,618706,377439,531586,536462,1143643,395030,594646,519914,434601,452727,846754,827067
